Action,Name,Points,GameMode,Timestamp
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-09-30 09:54:57.896
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-09-30 09:54:57.903
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-09-30 10:21:20.506
AddTestsAchievement,Safety First,2,LEADERBOARD,2025-09-30 10:21:20.51
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-09-30 10:21:52.598
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-09-30 10:21:53.083
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-09-30 10:22:11.455
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-09-30 10:22:11.463
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-09-30 10:22:11.471
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-09-30 10:22:11.488
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-09-30 10:22:11.806
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-10-16 10:56:24.925
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-10-16 10:56:24.925
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-10-16 12:19:06.32
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-10-16 12:19:37.037
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-10-16 12:24:53.414
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-10-16 12:30:37.562
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-10-16 12:34:49.136
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-10-16 12:34:49.664
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-10-19 16:14:30.702
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-10-19 16:14:30.705
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-10-19 16:22:07.821
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-10-19 16:22:48.051
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-10-19 16:22:48.053
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-10-19 16:23:34.814
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-10-19 16:25:57.185
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-10-19 16:25:57.185
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-10-19 16:29:57.54
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-10-19 16:30:10.011
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-10-19 16:30:19.343
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-10-19 16:30:19.377
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-10-19 16:30:19.416
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-10-19 16:30:19.452
